BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
201802,18,2127,201802,18,2127,122136,731086,CALIFORNIA,6,2018,February,High Wind,Z,95,KERN CTY MTNS,HNX,2/18/2018 21:27,PST-8,2/18/2018 21:27,0,0,0,0,0.00K,0.00K,RAWS,63,MG,,,,,,,,,,,,,,,,,,,,"President's Day weekend got off to a warm and dry start across the area, but the weekend ended on the chilly side as a strong cold front pushed across Central California on the evening of February 18. Gusty winds accompanied the front and continued behind the cold front overnight and well into the President's Day holiday before diminishing by afternoon. Several locations in the San Joaquin Valley measured wind gusts between 35 and 45 mph while several stations in the Kern County Mountains and Deserts reported wind gusts between 45 and 55 mph with a few low impact indicator locations reporting stronger gusts. In addition to the strong winds, light snow fell across portions of the Kern County Mountains in post frontal showers and several locations picked up between a dusting to an inch of snowfall.",The Bird Springs Pass RAWS measured a peak wind gust of 73 mph.,CSV
201802,19,114,201802,19,114,122136,731087,CALIFORNIA,6,2018,February,High Wind,Z,95,KERN CTY MTNS,HNX,2/19/2018 1:14,PST-8,2/19/2018 1:14,0,0,0,0,0.00K,0.00K,RAWS,55,MG,,,,,,,,,,,,,,,,,,,,"President's Day weekend got off to a warm and dry start across the area, but the weekend ended on the chilly side as a strong cold front pushed across Central California on the evening of February 18. Gusty winds accompanied the front and continued behind the cold front overnight and well into the President's Day holiday before diminishing by afternoon. Several locations in the San Joaquin Valley measured wind gusts between 35 and 45 mph while several stations in the Kern County Mountains and Deserts reported wind gusts between 45 and 55 mph with a few low impact indicator locations reporting stronger gusts. In addition to the strong winds, light snow fell across portions of the Kern County Mountains in post frontal showers and several locations picked up between a dusting to an inch of snowfall.",The Jawbone Canyon RAWS measured a peak wind gust of 63 mph.,CSV
201802,19,26,201802,19,26,122136,731088,CALIFORNIA,6,2018,February,High Wind,Z,98,INDIAN WELLS VLY,HNX,2/19/2018 0:26,PST-8,2/19/2018 0:26,0,0,0,0,0.00K,0.00K,RAWS,71,MG,,,,,,,,,,,,,,,,,,,,"President's Day weekend got off to a warm and dry start across the area, but the weekend ended on the chilly side as a strong cold front pushed across Central California on the evening of February 18. Gusty winds accompanied the front and continued behind the cold front overnight and well into the President's Day holiday before diminishing by afternoon. Several locations in the San Joaquin Valley measured wind gusts between 35 and 45 mph while several stations in the Kern County Mountains and Deserts reported wind gusts between 45 and 55 mph with a few low impact indicator locations reporting stronger gusts. In addition to the strong winds, light snow fell across portions of the Kern County Mountains in post frontal showers and several locations picked up between a dusting to an inch of snowfall.",The Indian Wells Canyon RAWS measured a peak wind gust of 82 mph.,CSV
201804,6,1126,201804,6,1156,124023,744345,CALIFORNIA,6,2018,April,Flood,C,1,ALAMEDA,MTR,4/6/2018 11:26,PST-8,4/6/2018 11:56,0,0,0,0,0.00K,0.00K,Law Enforcement,,,Heavy Rain,,,,,,,,,1,ESE,FRUITVALE,1,ESE,FRUITVALE,37.7641,-122.2171,37.764,-122.2169,"A late season Atmospheric River impacted the area in early April. A very moist airmass made landfall across the North Bay before moving southward across the rest of the Bay Area. The Oakland sounding measured record PWAT values of 1.69. The absence of large scale forcing prevent record breaking rainfall. Enough rain did fall, however, to cause minoir/nuisance flooding across much of the region. Numerous flood advisories were issued. Storm total rainfall amounts up to 7 were reported. The bulk of the impacts were felt on April 6,7.",Roadway flooding reported at I-880 N and High Street off ramp.,CSV
201804,6,1130,201804,6,1200,124023,744346,CALIFORNIA,6,2018,April,Flood,C,1,ALAMEDA,MTR,4/6/2018 11:30,PST-8,4/6/2018 12:00,0,0,0,0,0.00K,0.00K,Law Enforcement,,,Heavy Rain,,,,,,,,,1,WSW,EMERYVILLE,1,WSW,EMERYVILLE,37.8451,-122.2978,37.845,-122.2979,"A late season Atmospheric River impacted the area in early April. A very moist airmass made landfall across the North Bay before moving southward across the rest of the Bay Area. The Oakland sounding measured record PWAT values of 1.69. The absence of large scale forcing prevent record breaking rainfall. Enough rain did fall, however, to cause minoir/nuisance flooding across much of the region. Numerous flood advisories were issued. Storm total rainfall amounts up to 7 were reported. The bulk of the impacts were felt on April 6,7.",Roadway flooding reported at I-80 W and Ashby Ave off ramp.,CSV
201804,6,1134,201804,6,1204,124023,744488,CALIFORNIA,6,2018,April,Flood,C,1,ALAMEDA,MTR,4/6/2018 11:34,PST-8,4/6/2018 12:04,0,0,0,0,0.00K,0.00K,Law Enforcement,,,Heavy Rain,,,,,,,,,1,SW,EMERYVILLE,1,SW,EMERYVILLE,37.8351,-122.295,37.835,-122.2949,"A late season Atmospheric River impacted the area in early April. A very moist airmass made landfall across the North Bay before moving southward across the rest of the Bay Area. The Oakland sounding measured record PWAT values of 1.69. The absence of large scale forcing prevent record breaking rainfall. Enough rain did fall, however, to cause minoir/nuisance flooding across much of the region. Numerous flood advisories were issued. Storm total rainfall amounts up to 7 were reported. The bulk of the impacts were felt on April 6,7.",Roadway flooding reported at I-80W and Powell Street off ramp.,CSV
201804,6,1147,201804,6,1217,124023,744489,CALIFORNIA,6,2018,April,Flood,C,41,MARIN,MTR,4/6/2018 11:47,PST-8,4/6/2018 12:17,0,0,0,0,0.00K,0.00K,Law Enforcement,,,Heavy Rain,,,,,,,,,0,N,FALLON,0,N,FALLON,38.2767,-122.8998,38.2765,-122.8998,"A late season Atmospheric River impacted the area in early April. A very moist airmass made landfall across the North Bay before moving southward across the rest of the Bay Area. The Oakland sounding measured record PWAT values of 1.69. The absence of large scale forcing prevent record breaking rainfall. Enough rain did fall, however, to cause minoir/nuisance flooding across much of the region. Numerous flood advisories were issued. Storm total rainfall amounts up to 7 were reported. The bulk of the impacts were felt on April 6,7.",Roadway flooding reported at SR-1 and Fallon Road.,CSV
201804,6,947,201804,6,1017,124023,744324,CALIFORNIA,6,2018,April,Flood,C,97,SONOMA,MTR,4/6/2018 9:47,PST-8,4/6/2018 10:17,0,0,0,0,0.00K,0.00K,Law Enforcement,,,Heavy Rain,,,,,,,,,2,W,COTATI,2,W,COTATI,38.3253,-122.7359,38.3251,-122.7358,"A late season Atmospheric River impacted the area in early April. A very moist airmass made landfall across the North Bay before moving southward across the rest of the Bay Area. The Oakland sounding measured record PWAT values of 1.69. The absence of large scale forcing prevent record breaking rainfall. Enough rain did fall, however, to cause minoir/nuisance flooding across much of the region. Numerous flood advisories were issued. Storm total rainfall amounts up to 7 were reported. The bulk of the impacts were felt on April 6,7.",Roadway flooding reported at W Sierra Ave and Stony Point Rd.,CSV
201804,6,1058,201804,6,1128,124023,744343,CALIFORNIA,6,2018,April,Flood,C,97,SONOMA,MTR,4/6/2018 10:58,PST-8,4/6/2018 11:28,0,0,0,0,0.00K,0.00K,Public,,,Heavy Rain,,,,,,,,,2,SW,PENNGROVE,2,SW,PENNGROVE,38.2843,-122.6941,38.2842,-122.6943,"A late season Atmospheric River impacted the area in early April. A very moist airmass made landfall across the North Bay before moving southward across the rest of the Bay Area. The Oakland sounding measured record PWAT values of 1.69. The absence of large scale forcing prevent record breaking rainfall. Enough rain did fall, however, to cause minoir/nuisance flooding across much of the region. Numerous flood advisories were issued. Storm total rainfall amounts up to 7 were reported. The bulk of the impacts were felt on April 6,7.",Social media photo showing roadway flooding in Pepper Road.,CSV
201804,6,1109,201804,6,1139,124023,744344,CALIFORNIA,6,2018,April,Flood,C,97,SONOMA,MTR,4/6/2018 11:09,PST-8,4/6/2018 11:39,0,0,0,0,0.00K,0.00K,Law Enforcement,,,Heavy Rain,,,,,,,,,0,SSE,MANZANA,0,SSE,MANZANA,38.446,-122.8669,38.4458,-122.8668,"A late season Atmospheric River impacted the area in early April. A very moist airmass made landfall across the North Bay before moving southward across the rest of the Bay Area. The Oakland sounding measured record PWAT values of 1.69. The absence of large scale forcing prevent record breaking rainfall. Enough rain did fall, however, to cause minoir/nuisance flooding across much of the region. Numerous flood advisories were issued. Storm total rainfall amounts up to 7 were reported. The bulk of the impacts were felt on April 6,7.",Roadway flooding reported at Green Valley Road and SR-116.,CSV
201804,6,418,201804,6,448,124023,744319,CALIFORNIA,6,2018,April,Flood,C,41,MARIN,MTR,4/6/2018 4:18,PST-8,4/6/2018 4:48,0,0,0,0,0.00K,0.00K,Law Enforcement,,,Heavy Rain,,,,,,,,,1,W,CARTE MADERA,1,W,CARTE MADERA,37.9209,-122.5101,37.9208,-122.5102,"A late season Atmospheric River impacted the area in early April. A very moist airmass made landfall across the North Bay before moving southward across the rest of the Bay Area. The Oakland sounding measured record PWAT values of 1.69. The absence of large scale forcing prevent record breaking rainfall. Enough rain did fall, however, to cause minoir/nuisance flooding across much of the region. Numerous flood advisories were issued. Storm total rainfall amounts up to 7 were reported. The bulk of the impacts were felt on April 6,7.",Roadway flooding reported at 53 San Clemente Drive.,CSV
201804,6,1130,201804,6,1200,124023,744348,CALIFORNIA,6,2018,April,Flood,C,97,SONOMA,MTR,4/6/2018 11:30,PST-8,4/6/2018 12:00,0,0,0,0,0.00K,0.00K,Law Enforcement,,,Heavy Rain,,,,,,,,,2,W,CADWELL,2,W,CADWELL,38.3489,-122.8204,38.3489,-122.8204,"A late season Atmospheric River impacted the area in early April. A very moist airmass made landfall across the North Bay before moving southward across the rest of the Bay Area. The Oakland sounding measured record PWAT values of 1.69. The absence of large scale forcing prevent record breaking rainfall. Enough rain did fall, however, to cause minoir/nuisance flooding across much of the region. Numerous flood advisories were issued. Storm total rainfall amounts up to 7 were reported. The bulk of the impacts were felt on April 6,7.",Roadway flooding reported at Bloomfield and Blucher Valley Rd. Entire roadway covered in approximately 2 feet of water.,CSV
201804,6,1130,201804,6,1200,124023,744487,CALIFORNIA,6,2018,April,Flood,C,97,SONOMA,MTR,4/6/2018 11:30,PST-8,4/6/2018 12:00,0,0,0,0,0.00K,0.00K,Law Enforcement,,,Heavy Rain,,,,,,,,,1,WSW,SONOMA COUNTY ARPT,1,WSW,SONOMA COUNTY ARPT,38.5111,-122.8404,38.5109,-122.8403,"A late season Atmospheric River impacted the area in early April. A very moist airmass made landfall across the North Bay before moving southward across the rest of the Bay Area. The Oakland sounding measured record PWAT values of 1.69. The absence of large scale forcing prevent record breaking rainfall. Enough rain did fall, however, to cause minoir/nuisance flooding across much of the region. Numerous flood advisories were issued. Storm total rainfall amounts up to 7 were reported. The bulk of the impacts were felt on April 6,7.",Roadway flooding reported at Mark West Station Rd and Starr Rd.,CSV
201804,6,616,201804,6,646,124023,744320,CALIFORNIA,6,2018,April,Flood,C,85,SANTA CLARA,MTR,4/6/2018 6:16,PST-8,4/6/2018 6:46,0,0,0,0,0.00K,0.00K,Law Enforcement,,,Heavy Rain,,,,,,,,,1,WSW,SAN JOSE,1,WSW,SAN JOSE,37.3244,-121.8927,37.3238,-121.8926,"A late season Atmospheric River impacted the area in early April. A very moist airmass made landfall across the North Bay before moving southward across the rest of the Bay Area. The Oakland sounding measured record PWAT values of 1.69. The absence of large scale forcing prevent record breaking rainfall. Enough rain did fall, however, to cause minoir/nuisance flooding across much of the region. Numerous flood advisories were issued. Storm total rainfall amounts up to 7 were reported. The bulk of the impacts were felt on April 6,7.",Roadway flooding reported on SB-87 to SB-280 connecting ramp.,CSV
201804,6,825,201804,6,855,124023,744321,CALIFORNIA,6,2018,April,Flood,C,97,SONOMA,MTR,4/6/2018 8:25,PST-8,4/6/2018 8:55,0,0,0,0,0.00K,0.00K,Law Enforcement,,,Heavy Rain,,,,,,,,,1,S,FREESTONE,1,S,FREESTONE,38.3569,-122.9202,38.357,-122.9204,"A late season Atmospheric River impacted the area in early April. A very moist airmass made landfall across the North Bay before moving southward across the rest of the Bay Area. The Oakland sounding measured record PWAT values of 1.69. The absence of large scale forcing prevent record breaking rainfall. Enough rain did fall, however, to cause minoir/nuisance flooding across much of the region. Numerous flood advisories were issued. Storm total rainfall amounts up to 7 were reported. The bulk of the impacts were felt on April 6,7.",Roadway flooding reported at Freestone Valley Ford Rd and Bodega Hwy.,CSV
201804,6,907,201804,6,937,124023,744323,CALIFORNIA,6,2018,April,Flood,C,97,SONOMA,MTR,4/6/2018 9:07,PST-8,4/6/2018 9:37,0,0,0,0,0.00K,0.00K,Law Enforcement,,,Heavy Rain,,,,,,,,,1,ESE,MOLINO,1,ESE,MOLINO,38.4202,-122.8296,38.4202,-122.8297,"A late season Atmospheric River impacted the area in early April. A very moist airmass made landfall across the North Bay before moving southward across the rest of the Bay Area. The Oakland sounding measured record PWAT values of 1.69. The absence of large scale forcing prevent record breaking rainfall. Enough rain did fall, however, to cause minoir/nuisance flooding across much of the region. Numerous flood advisories were issued. Storm total rainfall amounts up to 7 were reported. The bulk of the impacts were felt on April 6,7.","Roadway flooding reported at 1298 High School Road. Roadway completely flooded, vehicles reportedly hydroplaning.",CSV
201804,6,1018,201804,6,1048,124023,744335,CALIFORNIA,6,2018,April,Flood,C,97,SONOMA,MTR,4/6/2018 10:18,PST-8,4/6/2018 10:48,0,0,0,0,0.00K,0.00K,Law Enforcement,,,Heavy Rain,,,,,,,,,2,SSE,SANTA ROSA ARPT,2,SSE,SANTA ROSA ARPT,38.4751,-122.7293,38.4749,-122.729,"A late season Atmospheric River impacted the area in early April. A very moist airmass made landfall across the North Bay before moving southward across the rest of the Bay Area. The Oakland sounding measured record PWAT values of 1.69. The absence of large scale forcing prevent record breaking rainfall. Enough rain did fall, however, to cause minoir/nuisance flooding across much of the region. Numerous flood advisories were issued. Storm total rainfall amounts up to 7 were reported. The bulk of the impacts were felt on April 6,7.",Roadway flooding reported at Old Redwood Highway and Mendocino Ave. NB lane is heavily flooded and the SB lane is starting to flood.,CSV
201804,6,949,201804,6,1019,124023,744332,CALIFORNIA,6,2018,April,Flood,C,97,SONOMA,MTR,4/6/2018 9:49,PST-8,4/6/2018 10:19,0,0,0,0,0.00K,0.00K,Law Enforcement,,,Heavy Rain,,,,,,,,,1,SE,SANTA ROSA ARPT,1,SE,SANTA ROSA ARPT,38.4887,-122.7372,38.4886,-122.7371,"A late season Atmospheric River impacted the area in early April. A very moist airmass made landfall across the North Bay before moving southward across the rest of the Bay Area. The Oakland sounding measured record PWAT values of 1.69. The absence of large scale forcing prevent record breaking rainfall. Enough rain did fall, however, to cause minoir/nuisance flooding across much of the region. Numerous flood advisories were issued. Storm total rainfall amounts up to 7 were reported. The bulk of the impacts were felt on April 6,7.",Roadway flooding reported at Old Redwood Highway and Angela Dr.,CSV
201804,6,957,201804,6,1027,124023,744334,CALIFORNIA,6,2018,April,Flood,C,97,SONOMA,MTR,4/6/2018 9:57,PST-8,4/6/2018 10:27,0,0,0,0,0.00K,0.00K,Law Enforcement,,,Heavy Rain,,,,,,,,,1,S,WILFRED,1,S,WILFRED,38.35,-122.7213,38.35,-122.7213,"A late season Atmospheric River impacted the area in early April. A very moist airmass made landfall across the North Bay before moving southward across the rest of the Bay Area. The Oakland sounding measured record PWAT values of 1.69. The absence of large scale forcing prevent record breaking rainfall. Enough rain did fall, however, to cause minoir/nuisance flooding across much of the region. Numerous flood advisories were issued. Storm total rainfall amounts up to 7 were reported. The bulk of the impacts were felt on April 6,7.",Roadway flooding reported at 6100 Labath Ave. Water on both sides of road.,CSV
201804,6,1035,201804,6,1105,124023,744339,CALIFORNIA,6,2018,April,Flood,C,97,SONOMA,MTR,4/6/2018 10:35,PST-8,4/6/2018 11:05,0,0,0,0,0.00K,0.00K,Law Enforcement,,,Heavy Rain,,,,,,,,,5,S,SCHELLVILLE ARPT,5,S,SCHELLVILLE ARPT,38.1507,-122.4492,38.1507,-122.4496,"A late season Atmospheric River impacted the area in early April. A very moist airmass made landfall across the North Bay before moving southward across the rest of the Bay Area. The Oakland sounding measured record PWAT values of 1.69. The absence of large scale forcing prevent record breaking rainfall. Enough rain did fall, however, to cause minoir/nuisance flooding across much of the region. Numerous flood advisories were issued. Storm total rainfall amounts up to 7 were reported. The bulk of the impacts were felt on April 6,7.",Roadway flooding reported at SR-121 and Sears Point Dr. SB lane completely flooded.,CSV
201802,25,2200,201802,26,900,122285,732138,CALIFORNIA,6,2018,February,Heavy Snow,Z,82,SOUTH CENTRAL SISKIYOU COUNTY,MFR,2/25/2018 22:00,PST-8,2/26/2018 9:00,0,0,0,0,0.00K,0.00K,Trained Spotter,,,,,,,,,,,,,,,,,,,,,,A short wave aloft brought a band of precipitation into a cold air mass that was already in place over northern California overnight. This caused a low level snow event over the area.,A spotter 2SSW Weed reported 7.0 inches of snow in 8 hours ending at 26/0900 PST.,CSV
201802,25,2200,201802,26,400,122285,732141,CALIFORNIA,6,2018,February,Heavy Snow,Z,83,NORTH CENTRAL & SOUTHEAST SISKIYOU COUNTY,MFR,2/25/2018 22:00,PST-8,2/26/2018 4:00,0,0,0,0,0.00K,0.00K,Trained Spotter,,,,,,,,,,,,,,,,,,,,,,A short wave aloft brought a band of precipitation into a cold air mass that was already in place over northern California overnight. This caused a low level snow event over the area.,A spotter at Tennant reported 6.0 inches of snow in 6 hours ending at 26/0400 PST.,CSV
201804,6,1208,201804,6,1238,124023,744490,CALIFORNIA,6,2018,April,Flood,C,97,SONOMA,MTR,4/6/2018 12:08,PST-8,4/6/2018 12:38,0,0,0,0,0.00K,0.00K,Law Enforcement,,,Heavy Rain,,,,,,,,,1,SE,TWO ROCK,1,SE,TWO ROCK,38.2584,-122.7809,38.2582,-122.7808,"A late season Atmospheric River impacted the area in early April. A very moist airmass made landfall across the North Bay before moving southward across the rest of the Bay Area. The Oakland sounding measured record PWAT values of 1.69. The absence of large scale forcing prevent record breaking rainfall. Enough rain did fall, however, to cause minoir/nuisance flooding across much of the region. Numerous flood advisories were issued. Storm total rainfall amounts up to 7 were reported. The bulk of the impacts were felt on April 6,7.",Roadway flooding at Bodega Ave and Valley Ford Road.,CSV
